목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
2,61411708,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 스포츠 패키지 4WD,"5,970만원",24년 7월식(25년형),24년 7월식(25년형),"20,067km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61411708
3,61409240,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,800만원",24년 11월식(25년형),24년 11월식(25년형),"20,988km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61409240
4,61413268,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,720만원",24년 7월식(25년형),24년 7월식(25년형),"21,635km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61413268
6,61413302,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,530만원",24년 7월식(25년형),24년 7월식(25년형),"19,011km",무사고,총 3회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61413302
7,61403963,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,500만원",24년 2월식(25년형),24년 2월식(25년형),"32,666km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61403963
9,61412950,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 2WD,"5,450만원",24년 9월식(25년형),24년 9월식(25년형),"11,450km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61412950
10,61411103,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,430만원",24년 9월식(25년형),24년 9월식(25년형),"10,555km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61411103
13,61403596,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,210만원",24년 8월식(25년형),24년 8월식(25년형),"10,224km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61403596
16,61411654,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 2WD,"5,090만원",24년 6월식(25년형),24년 6월식(25년형),"12,532km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61411654
17,61412248,제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,"5,050만원",24년 6월식(25년형),24년 6월식(25년형),"42,275km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61412248
19,61412036,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,770만원",23년 3월식,23년 3월식,"8,563km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61412036
22,61410429,제네시스 G80 (RG3) 가솔린 터보 2.5 스포츠 패키지 2WD,"4,620만원",23년 7월식(24년형),23년 7월식(24년형),"26,877km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61410429
23,61409394,제네시스 G80 (RG3) 가솔린 터보 2.5 스포츠 패키지 AWD,"4,620만원",23년 5월식,23년 5월식,"29,684km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61409394
24,61410848,제네시스 G80 (RG3) 가솔린 터보 2.5 스포츠 패키지 AWD,"4,590만원",23년 9월식(24년형),23년 9월식(24년형),"60,845km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61410848
27,61386320,제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"4,470만원",23년 6월식(24년형),23년 6월식(24년형),"62,022km",무사고,총 2회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61386320
